uid,organoid
AP030_045E,AP_drug
AP030_105E,AP_drug
AP030_042E,AP_drug
AP030_053E,AP_drug
AP030_060F,AP_drug
AP030_072F,AP_drug
AP030_076F,AP_drug
AP030_077F,AP_drug
AP030_106G,AP_drug
AP030_083G,AP_drug
AP029_102A,AP_ctrl
AP029_016B,AP_ctrl
AP029_018B,AP_ctrl
AP029_019B,AP_ctrl
AP029_020C,AP_ctrl
AP029_026C,AP_ctrl
AP029_034C,AP_ctrl
AP029_035C,AP_ctrl
AP029_038D,AP_ctrl
AP029_043D,AP_ctrl
AP029_049D,AP_ctrl
AP029_081G,AP_ctrl
AP029_088G,AP_ctrl
AP029_093G,AP_ctrl
AP019_001A,AP_drug
AP019_090A,AP_drug
AP019_009B,AP_drug
AP019_012B,AP_drug
AP019_091C,AP_drug
AP019_019C,AP_drug
AP019_024D,AP_drug
AP019_094D,AP_drug
AP019_027E,AP_drug
AP019_029E,AP_drug
AP019_031E,AP_drug
AP019_080F,AP_drug
AP019_097F,AP_drug
AP019_048F,AP_drug
AP019_049F,AP_drug
AP019_082G,AP_drug
AP019_051G,AP_drug
AP019_095G,AP_drug
AP019_057G,AP_drug
AP019_060G,AP_drug
AP019_096G,AP_drug
AP019_067G,AP_drug
AP019_086G,AP_drug
AP019_066G,AP_drug
AP019_068H,AP_drug
AP019_070H,AP_drug
AP019_071H,AP_drug
AP028_040D,AP_drug
AP028_044D,AP_drug
AP028_042D,AP_drug
AP028_048D,AP_drug
AP028_034G,AP_drug
AP028_047G,AP_drug
AP028_038H,AP_drug
AP016_002B,AP_ctrl
AP016_042C,AP_ctrl
AP016_010C,AP_ctrl
AP016_043C,AP_ctrl
AP016_017D,AP_ctrl
AP016_036G,AP_ctrl
AP016_037G,AP_ctrl
AP023_294B,AP_drug
AP023_204B,AP_drug
AP023_210D,AP_drug
AP023_298E,AP_drug
AP023_301E,AP_drug
AP023_296E,AP_drug
AP023_231E,AP_drug
AP023_253F,AP_drug
AP023_266G,AP_drug
AP023_267G,AP_drug
AP023_300H,AP_drug
AP023_272H,AP_drug
AP023_276H,AP_drug
AP017_007B,AP_ctrl
AP017_009B,AP_ctrl
AP017_010C,AP_ctrl
AP017_020C,AP_ctrl
AP017_017C,AP_ctrl
AP017_039C,AP_ctrl
AP017_079E,AP_ctrl
AP017_089E,AP_ctrl
AP017_136J,AP_ctrl
AP017_114K,AP_ctrl
AP017_135K,AP_ctrl
AP017_118L,AP_ctrl
AP009_000A,AP_ctrl
AP009_001A,AP_ctrl
AP009_003B,AP_ctrl
AP009_004B,AP_ctrl
AP009_037B,AP_ctrl
AP009_007B,AP_ctrl
AP009_010E,AP_ctrl
AP009_011E,AP_ctrl
AP009_038E,AP_ctrl
AP009_043H,AP_ctrl
AP009_044H,AP_ctrl
AP009_032H,AP_ctrl
AP009_045H,AP_ctrl
AP010_000A,AP_drug
AP010_201A,AP_drug
AP010_011B,AP_drug
AP010_013B,AP_drug
AP010_015C,AP_drug
AP010_022C,AP_drug
AP010_024C,AP_drug
AP010_183C,AP_drug
AP010_025C,AP_drug
AP010_202C,AP_drug
AP010_031D,AP_drug
AP010_203D,AP_drug
AP010_045D,AP_drug
AP010_058D,AP_drug
AP010_204E,AP_drug
